review_id,case_id,decision,reviewer,original_root_cause,original_confidence,corrected_root_cause,corrected_fix,notes,timestamp
REV-63473CED,NET-012,ACCEPTED,Test Engineer,NAT ACL Mismatch,0.95,,,,2026-08-25T15:22:16.252693
REV-86DA0F7E,NET-012,ACCEPTED,Cisco Evaluator,,,,,,2026-08-25T15:22:16.288465
REV-13B3091B,NET-001,ACCEPTED,Network Engineer,Access port assigned to VLAN 20 instead of expected VLAN 10,0.9,,,,2026-08-25T15:26:01.155890
REV-79775C7B,NET-001,ACCEPTED,Network Engineer,Access port assigned to VLAN 20 instead of expected VLAN 10,0.9,,,,2026-08-25T15:27:04.031853
REV-6B6721F0,NET-012,ACCEPTED,Test Engineer,NAT ACL Mismatch,0.95,,,,2026-08-25T15:41:13.197908
REV-DF720E85,NET-012,ACCEPTED,Cisco Evaluator,,,,,,2026-08-25T15:41:13.230309
REV-E8CB35ED,NET-001,REJECTED,Network Engineer,Access port assigned to VLAN 20 instead of expected VLAN 10,0.9,,,,2026-08-25T15:43:02.100639
REV-3803B98D,NET-002,ACCEPTED,Network Engineer,Trunking disabled on inter-switch link interface,0.9,,,,2026-08-25T15:43:20.161851
NET-001,2026-08-26T06:04:37.834677+00:00,ACCEPTED,Cisco Lead Engineer,,,,Verified VLAN assignment on Fa0/1
NET-001,2026-08-26T06:09:48.816817+00:00,ACCEPTED,Network Engineer,,,,
NET-001,2026-08-26T06:34:44.912456+00:00,ACCEPTED,Network Engineer,,,,
NET-003,2026-08-26T06:35:09.244034+00:00,REJECTED,Network Engineer,,,,
NET-003,2026-08-26T06:35:46.883082+00:00,ACCEPTED,Network Engineer,,,,
NET-001,2026-08-26T06:44:27.302855+00:00,ACCEPTED,Network Engineer,,,,
NET-001,2026-08-26T06:44:58.666990+00:00,ACCEPTED,Network Engineer,,,,
NET-002,2026-08-26T06:48:19.297639+00:00,ACCEPTED,Network Engineer,,,,
NET-002,2026-08-26T06:48:25.844436+00:00,ACCEPTED,Network Engineer,,,,
NET-005,2026-08-26T06:48:55.063672+00:00,REJECTED,Network Engineer,,,,
NET-023,2026-08-26T07:02:51.950903+00:00,EDITED,Network Engineer,,,,
NET-006,2026-08-26T07:09:48.416886+00:00,ACCEPTED,Network Engineer,,,,
NET-006,2026-08-26T07:10:02.411985+00:00,ACCEPTED,Network Engineer,,,,
NET-006,2026-08-26T07:11:39.564562+00:00,ACCEPTED,Network Engineer,,,,
NET-004,2026-08-26T07:11:54.616420+00:00,REJECTED,Network Engineer,,,,
NET-015,2026-08-26T07:13:56.513920+00:00,ACCEPTED,Network Engineer,,,,
NET-002,2026-08-26T07:15:36.363751+00:00,ACCEPTED,Network Engineer,,,,
